"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000003147",420.073743070426,0.288721957394482,0.13910971153598,2.07549821077593,0.0379403845163487,0.115560619918212
"ENSG00000003249",748.031677231552,0.38774918827383,0.104662624921508,3.70475313957224,0.000211596702970403,0.00351607563551266
"ENSG00000003393",1470.69005153247,0.237389817574675,0.0573608612467226,4.13853300691574,3.49533592747481e-05,0.0010924351184475
"ENSG00000003400",125.645251540242,-0.31660984058257,0.12722740488268,-2.48853492590316,0.0128270637599155,0.0542611310861793
"ENSG00000003402",2438.11714527658,-0.286235868063455,0.0962349311849068,-2.97434480951079,0.00293614933994998,0.0199252307153516
"ENSG00000003436",126.659532350503,-0.426790838363866,0.128957520039573,-3.30954595151099,0.00093447425583664,0.00925984063574377
"ENSG00000003509",275.534096567632,0.166040119178984,0.0536589666418049,3.09435923892027,0.00197238503361157,0.0151679761323878
"ENSG00000003756",3163.75134538151,-0.11365686343272,0.0650714464512529,-1.74664725668675,0.0806985445796636,0.194965680652347
"ENSG00000003987",1116.10887239691,0.0934820660483649,0.0756415208148754,1.2358565116261,0.216511904563355,0.384709621125812
"ENSG00000003989",901.61568399203,-0.300962116732234,0.149443981103651,-2.01387914394152,0.0440222237220389,0.127712261816207
"ENSG00000004059",1169.52338648096,0.0958035844217563,0.0991227622837259,0.966514473714233,0.333786807985764,0.511566059037275
"ENSG00000004139",925.823445195835,0.0706667939253707,0.0538843634813951,1.31145269907048,0.189704864394621,0.351741104360344
"ENSG00000004142",988.778067244045,0.0645487580193401,0.0474884973865104,1.35925037791732,0.174067262426827,0.331084193537463
"ENSG00000004399",2155.78493216945,-0.253648670135657,0.0887086402111698,-2.85934571347109,0.00424515864613999,0.0255510780062386
"ENSG00000004455",1201.90001494047,-0.256728608091973,0.0643116493135293,-3.99194564021179,6.55333970524061e-05,0.00165854477211316
"ENSG00000004468",319.104611482571,-0.455361095181198,0.217707999068944,-2.09161398354038,0.0364730606157296,0.112441532878784
"ENSG00000004478",1656.68352268692,0.221798084587271,0.135362046028977,1.63855446259869,0.101306082693367,0.228189140048571
"ENSG00000004487",866.080232498061,0.142964374146785,0.0573502753993732,2.49282803179612,0.0126730208401801,0.0538469465820565
"ENSG00000004534",1597.37262369855,-0.10572709433713,0.0536648015864815,-1.97013854913355,0.0488224939466827,0.137198788486511
"ENSG00000004660",1479.68535008795,0.505393668394839,0.13820311051389,3.65689069164652,0.000255293180600118,0.00397211039313836
"ENSG00000004700",227.830088574993,-0.268468231832681,0.0670805742928144,-4.00217551300002,6.27627115946597e-05,0.00161086046544097
"ENSG00000004766",791.552699808193,0.136298911922457,0.0673804079836487,2.02282705019437,0.0430909817631599,0.125812290057192
"ENSG00000004776",178.898429455196,-0.0656583539788767,0.138699706759256,-0.473384951655602,0.635938563980078,0.771378457388239
"ENSG00000004777",938.862487356244,-0.065879756115017,0.0604524287203721,-1.08977848383478,0.275810734054925,0.451848405466106
"ENSG00000004779",171.68891518006,-0.00850065819499083,0.0964348480535996,-0.088149236158552,0.929758063856168,0.960776780818964
"ENSG00000004799",2295.22969558688,-0.427220732735853,0.18985308956427,-2.25027010999064,0.0244318041254607,0.0847281302467944
"ENSG00000004809",5.17180141926906,-0.26883599826164,0.267062632066498,-1.00664026330235,0.314107678378636,0.491552972291637
"ENSG00000004838",38.3653489862123,-0.543272926521946,0.239477222150554,-2.26857870507786,0.0232939578091977,0.0820483472885931
"ENSG00000004846",1.78089132075634,-0.169970642651876,0.350439858769882,-0.485020862776595,0.627661546543065,0.76490257017123
