"geneid","gene_name"
"496","ENSG00000238191","CLUHP1"
"497","ENSG00000226353","TAF9P1"
"498","ENSG00000226449","CDY5P"
"499","ENSG00000225896","ELOCP36"
"500","ENSG00000229129","ACTG1P2"
"501","ENSG00000223555","USP9YP23"
"502","ENSG00000235521","USP9YP27"
"503","ENSG00000252513","RNU1-128P"
"504","ENSG00000224964","TRAPPC2P3"
"505","ENSG00000225740","ELOCP6"
"506","ENSG00000229138","CDY6P"
"507","ENSG00000224485","USP9YP7"
"508","ENSG00000226116","USP9YP6"
"509","ENSG00000237558","CDY7P"
"510","ENSG00000233378","USP9YP34"
"511","ENSG00000237616","USP9YP32"
"512","ENSG00000224033","CDY8P"
"513","ENSG00000230412","ELOCP12"
"514","ENSG00000225895","TRAPPC2P8"
"515","ENSG00000233120","USP9YP15"
"516","ENSG00000252166","RNU1-95P"
"517","ENSG00000232744","USP9YP16"
"518","ENSG00000229465","ACTG1P11"
"519","ENSG00000236599","ELOCP26"
"520","ENSG00000232899","CDY9P"
"521","ENSG00000229302","TAF9P2"
"522","ENSG00000228945","CLUHP2"
"524","ENSG00000251953","RNA5SP522"
"525","ENSG00000252667","RNA5SP523"
"526","ENSG00000249726","TUBB1P1"
"527","ENSG00000225716","ELOCP13"
"528","ENSG00000229406","OFD1P4Y"
"529","ENSG00000252209","RNU1-48P"
"530","ENSG00000249634","USP9YP5"
"531","ENSG00000238067","XKRYP1"
"532","ENSG00000230377","ELOCP7"
"533","ENSG00000250951","USP9YP1"
"534","ENSG00000230458","GPM6BP1"
"535","ENSG00000235479","RAB9AP4"
"536","ENSG00000249606","TRAPPC2P7"
"539","ENSG00000012817","KDM5D"
"540","ENSG00000288213","MCRIP1"
"541","ENSG00000288186","PPP1R27"
"542","ENSG00000172468","HSFY1"
"543","ENSG00000176679","TGIF2LY"
"544","ENSG00000182415","CDY2A"
"545","ENSG00000233126","ZNF736P3Y"
"546","ENSG00000227251","TRIM60P9Y"
"547","ENSG00000252633","RN7SKP282"
"549","ENSG00000252155","RNU6-941P"
"550","ENSG00000252472","RNU6-521P"
"551","ENSG00000224953","SRIP3"
"553","ENSG00000233634","GOT2P5"
"554","ENSG00000237701","ATP5PFP1"
"556","ENSG00000232976","TRIM60P10Y"
"557","ENSG00000226270","ZNF736P2Y"
"558","ENSG00000227837","TRIM60P11Y"
